NAME,FORM
"CHEMBL268098",C13H10F3NO2
"CHEMBL7087",C8H12N2O2S
"CHEMBL6888",C18H17ClN4S
"CHEMBL6977",C16H16ClN3O4S
"CHEMBL267142",C12H7ClN4O
"CHEMBL266980",C6H12N2
"CHEMBL269560",C12H22N2
"CHEMBL6875",C12H16N2
"CHEMBL6876",C18H21BrO2
"CHEMBL267270",C14H9F6NO2
"CHEMBL6805",C12H9Cl2N3O
"CHEMBL6734",C11H10N4OS
"CHEMBL6824",C22H30N2O3
"CHEMBL6825",C24H30N2O2S2
"CHEMBL216755",C40H61Cl4N9O17
"CHEMBL6751",C40H62Cl3N9O17
"CHEMBL268628",C39H62ClN9O16
"CHEMBL6396",C35H41NO10
"CHEMBL266928",C15H9F8NO2
"CHEMBL262528",C44H65N9O17
"CHEMBL6440",C17H16ClN3O3
"ALPRENOLOL",C15H23NO2
"CHEMBL6441",C16H14F3NO2
"CHEMBL6530",C16H16F3NO2
"CHEMBL6529",C13H16N4
"CHEMBL6357",C26H23N5O2
"CHEMBL6855",C16H16F3NO2
"CHEMBL6699",C22H23NO6S
"CHEMBL6740",C20H28N2O4
"CHEMBL7055",C13H13N5
"CHEMBL7056",C12H13FN4
"CHEMBL266543",C12H13ClN4
"CHEMBL6850",C28H24N4O4
"CHEMBL6847",C10H7ClN4O
"CHEMBL6865",C18H25NO7S
"CHEMBL6820",C9H17N
"DIMECAMINE",C12H23N
"CHEMBL6737",C11H17NO2
"CHEMBL269153",C19H17F3N4S
"CHEMBL6797",C19H24ClNO4
"CHEMBL7074",C21H25N3O2S2
"SHETA-2",C20H23N3O2S2
"CHEMBL6907",C14H13ClF3NO2
"CHEMBL6861",C16H16ClN3O3
"CHEMBL6862",C16H16ClN3O3
"CHEMBL7192",C18H21FO2
"CHEMBL7203",C18H21ClO2
"FENRETINIDE",C26H33NO2
"CHEMBL6834",C33H50O6
"CHEMBL269703",C22H30N2O3
"CHEMBL6758",C40H49NO12
"CHEMBL268653",C36H43NO10
"CHEMBL269559",C34H38O11
"DIETHYLSTILBESTROL",C18H20O2
"CHEMBL6752",C12H11N3O3S
"CHEMBL268113",C20H28N2O4
"CHEMBL6714",C22H24N2O4
"CHEMBL6654",C16H16F3NO2
"CHEMBL413262",C44H64ClN9O17
"CHEMBL387089",C44H64N10O19
"CHEMBL263608",C44H64N10O19
"RO-147437",C15H15N3O3
"CHEMBL6835",C14H12O5
"CHEMBL268856",C18H21IO2
